Supply,Demand,CPU VAM,GPU VAM,CPU LCM,GPU LCM,CPU MODI,GPU MODI,CPU SSM,GPU SSM
10,10,1.3e-05,0.097886,3e-06,0.008672,1.6e-05,0.016032,0.000219,1.3e-05
20,20,5.3e-05,0.056983,1.5e-05,0.007268,0.000171,0.029252,0.008805,0.000166
30,30,0.000142,0.061209,4e-05,0.011945,0.000417,0.038796,0.040641,0.000419
40,40,0.000292,0.067216,8.4e-05,0.019933,0.00122,0.084146,0.193713,0.001131
50,50,0.000514,0.070574,0.00018,0.022062,0.004022,0.178171,0.769484,0.003494
60,60,0.000812,0.077513,0.000272,0.023247,0.007122,0.224701,2.05905,0.007213
70,70,0.001233,0.090841,0.000478,0.031001,0.011473,0.246983,4.373181,0.011687
80,80,0.001805,0.10834,0.000605,0.041811,0.019212,0.382366,8.411999,0.018971
90,90,0.002412,0.128578,0.001109,0.039,0.023814,0.362457,13.512206,0.024834
100,100,0.003317,0.131911,0.001424,0.039567,0.043833,0.484881,29.442453,0.044002
